study_id	cell_line	mouse_id	strain	trt	study_day	tumor_vol_mm3
07TCB6F1CT	CT26	007-30	C57BL/6J F1	isotype	11	33.39
07TCB6F1CT	CT26	007-30	C57BL/6J F1	isotype	13	80.58
07TCB6F1CT	CT26	007-30	C57BL/6J F1	isotype	15	138.02
07TCB6F1CT	CT26	007-30	C57BL/6J F1	isotype	18	272.23
07TCB6F1CT	CT26	007-30	C57BL/6J F1	isotype	20	296.71
07TCB6F1CT	CT26	007-30	C57BL/6J F1	isotype	22	451.52
07TCB6F1CT	CT26	007-31	C57BL/6J F1	anti-PD1	6	24.28
07TCB6F1CT	CT26	007-31	C57BL/6J F1	anti-PD1	8	28.62
07TCB6F1CT	CT26	007-31	C57BL/6J F1	anti-PD1	11	70.98
07TCB6F1CT	CT26	007-31	C57BL/6J F1	anti-PD1	13	126.27
07TCB6F1CT	CT26	007-31	C57BL/6J F1	anti-PD1	15	204.18
07TCB6F1CT	CT26	007-31	C57BL/6J F1	anti-PD1	18	253.76
07TCB6F1CT	CT26	007-31	C57BL/6J F1	anti-PD1	20	412.5
07TCB6F1CT	CT26	007-31	C57BL/6J F1	anti-PD1	22	593.68
07TCB6F1CT	CT26	007-32	C57BL/6J F1	anti-PD1	6	24.29
07TCB6F1CT	CT26	007-32	C57BL/6J F1	anti-PD1	8	36.3
07TCB6F1CT	CT26	007-32	C57BL/6J F1	anti-PD1	11	111.46
07TCB6F1CT	CT26	007-32	C57BL/6J F1	anti-PD1	13	181.74
07TCB6F1CT	CT26	007-32	C57BL/6J F1	anti-PD1	15	260.7
07TCB6F1CT	CT26	007-33	C57BL/6J F1	anti-PD1	6	24.31
07TCB6F1CT	CT26	007-33	C57BL/6J F1	anti-PD1	8	41.87
07TCB6F1CT	CT26	007-33	C57BL/6J F1	anti-PD1	11	41.93
07TCB6F1CT	CT26	007-33	C57BL/6J F1	anti-PD1	13	44.22
07TCB6F1CT	CT26	007-33	C57BL/6J F1	anti-PD1	15	53.46
07TCB6F1CT	CT26	007-33	C57BL/6J F1	anti-PD1	18	108.43
07TCB6F1CT	CT26	007-33	C57BL/6J F1	anti-PD1	20	176.54
07TCB6F1CT	CT26	007-33	C57BL/6J F1	anti-PD1	22	324.73
07TCB6F1CT	CT26	007-34	C57BL/6J F1	isotype	6	49.36
07TCB6F1CT	CT26	007-34	C57BL/6J F1	isotype	8	78.66
07TCB6F1CT	CT26	007-34	C57BL/6J F1	isotype	11	276.6
07TCB6F1CT	CT26	007-34	C57BL/6J F1	isotype	13	740.33
07TCB6F1CT	CT26	007-34	C57BL/6J F1	isotype	15	795.81
07TCB6F1CT	CT26	007-35	C57BL/6J F1	anti-PD1	6	10.64
07TCB6F1CT	CT26	007-35	C57BL/6J F1	anti-PD1	8	13.23
07TCB6F1CT	CT26	007-35	C57BL/6J F1	anti-PD1	11	21.49
07TCB6F1CT	CT26	007-35	C57BL/6J F1	anti-PD1	13	34.67
07TCB6F1CT	CT26	007-35	C57BL/6J F1	anti-PD1	15	53.53
07TCB6F1CT	CT26	007-35	C57BL/6J F1	anti-PD1	18	113.65
07TCB6F1CT	CT26	007-35	C57BL/6J F1	anti-PD1	20	206.95
07TCB6F1CT	CT26	007-35	C57BL/6J F1	anti-PD1	22	364.1
07TCB6F1CT	CT26	007-36	C57BL/6J F1	anti-PD1	6	33.9
07TCB6F1CT	CT26	007-36	C57BL/6J F1	anti-PD1	8	52.28
07TCB6F1CT	CT26	007-36	C57BL/6J F1	anti-PD1	11	115.83
07TCB6F1CT	CT26	007-36	C57BL/6J F1	anti-PD1	13	168.23
07TCB6F1CT	CT26	007-36	C57BL/6J F1	anti-PD1	15	270.2
07TCB6F1CT	CT26	007-36	C57BL/6J F1	anti-PD1	18	350.15
07TCB6F1CT	CT26	007-36	C57BL/6J F1	anti-PD1	20	476.41
07TCB6F1CT	CT26	007-36	C57BL/6J F1	anti-PD1	22	612.93
07TCB6F1CT	CT26	007-37	C57BL/6J F1	isotype	6	35.6
07TCB6F1CT	CT26	007-37	C57BL/6J F1	isotype	8	59.95
07TCB6F1CT	CT26	007-37	C57BL/6J F1	isotype	11	263.94
07TCB6F1CT	CT26	007-37	C57BL/6J F1	isotype	13	881.07
07TCB6F1CT	CT26	007-38	C57BL/6J F1	anti-PD1	6	28.84
07TCB6F1CT	CT26	007-38	C57BL/6J F1	anti-PD1	8	36.23
07TCB6F1CT	CT26	007-38	C57BL/6J F1	anti-PD1	11	40.79
07TCB6F1CT	CT26	007-38	C57BL/6J F1	anti-PD1	13	57.13
07TCB6F1CT	CT26	007-38	C57BL/6J F1	anti-PD1	15	115.79
07TCB6F1CT	CT26	007-38	C57BL/6J F1	anti-PD1	18	204.31
07TCB6F1CT	CT26	007-38	C57BL/6J F1	anti-PD1	20	283.99
07TCB6F1CT	CT26	007-38	C57BL/6J F1	anti-PD1	22	426.61
07TCB6F1CT	CT26	007-39	C57BL/6J F1	isotype	6	18.38
07TCB6F1CT	CT26	007-39	C57BL/6J F1	isotype	8	45.75
07TCB6F1CT	CT26	007-39	C57BL/6J F1	isotype	11	106.42
07TCB6F1CT	CT26	007-39	C57BL/6J F1	isotype	13	159.24
07TCB6F1CT	CT26	007-39	C57BL/6J F1	isotype	15	224.39
07TCB6F1CT	CT26	007-39	C57BL/6J F1	isotype	18	313.06
07TCB6F1CT	CT26	007-39	C57BL/6J F1	isotype	20	458.92
07TCB6F1CT	CT26	007-40	C57BL/6J F1	isotype	6	44.6
07TCB6F1CT	CT26	007-40	C57BL/6J F1	isotype	8	65.25
07TCB6F1CT	CT26	007-40	C57BL/6J F1	isotype	11	163.89
07TCB6F1CT	CT26	007-40	C57BL/6J F1	isotype	13	323.93
07TCB6F1CT	CT26	007-40	C57BL/6J F1	isotype	15	513.45
07TCB6F1CT	CT26	007-40	C57BL/6J F1	isotype	18	991.11
07TCB6F1CT	CT26	007-40	C57BL/6J F1	isotype	20	1416.77
07TCB6F1CT	CT26	007-40	C57BL/6J F1	isotype	22	1983.78
07TCB6F1CT	CT26	651-01	BALB/cJ	isotype	6	18.53
07TCB6F1CT	CT26	651-01	BALB/cJ	isotype	8	26.19
07TCB6F1CT	CT26	651-01	BALB/cJ	isotype	11	39.57
07TCB6F1CT	CT26	651-01	BALB/cJ	isotype	13	56.87
07TCB6F1CT	CT26	651-01	BALB/cJ	isotype	15	87.03
07TCB6F1CT	CT26	651-01	BALB/cJ	isotype	18	130.6
07TCB6F1CT	CT26	651-01	BALB/cJ	isotype	20	206.23
07TCB6F1CT	CT26	651-01	BALB/cJ	isotype	22	259.45
07TCB6F1CT	CT26	651-02	BALB/cJ	isotype	6	27.01
07TCB6F1CT	CT26	651-02	BALB/cJ	isotype	8	80.42
07TCB6F1CT	CT26	651-02	BALB/cJ	isotype	11	142.74
07TCB6F1CT	CT26	651-02	BALB/cJ	isotype	13	179.4
07TCB6F1CT	CT26	651-02	BALB/cJ	isotype	15	272.27
07TCB6F1CT	CT26	651-02	BALB/cJ	isotype	18	538.15
07TCB6F1CT	CT26	651-02	BALB/cJ	isotype	20	718.96
07TCB6F1CT	CT26	651-02	BALB/cJ	isotype	22	1043.64
07TCB6F1CT	CT26	651-03	BALB/cJ	anti-PD1	6	30.53
07TCB6F1CT	CT26	651-03	BALB/cJ	anti-PD1	8	82.54
07TCB6F1CT	CT26	651-03	BALB/cJ	anti-PD1	11	152.62
07TCB6F1CT	CT26	651-03	BALB/cJ	anti-PD1	13	233.96
07TCB6F1CT	CT26	651-03	BALB/cJ	anti-PD1	15	358.46
07TCB6F1CT	CT26	651-03	BALB/cJ	anti-PD1	18	441.54
07TCB6F1CT	CT26	651-03	BALB/cJ	anti-PD1	20	561.24
07TCB6F1CT	CT26	651-03	BALB/cJ	anti-PD1	22	755.01
07TCB6F1CT	CT26	651-04	BALB/cJ	isotype	6	65.04
07TCB6F1CT	CT26	651-04	BALB/cJ	isotype	8	88.06
07TCB6F1CT	CT26	651-04	BALB/cJ	isotype	11	280.12
07TCB6F1CT	CT26	651-04	BALB/cJ	isotype	13	465.11
07TCB6F1CT	CT26	651-04	BALB/cJ	isotype	15	569.59
07TCB6F1CT	CT26	651-04	BALB/cJ	isotype	18	1188.25
07TCB6F1CT	CT26	651-04	BALB/cJ	isotype	20	1622.39
07TCB6F1CT	CT26	651-04	BALB/cJ	isotype	22	2151.61
07TCB6F1CT	CT26	651-05	BALB/cJ	anti-PD1	6	18.29
07TCB6F1CT	CT26	651-05	BALB/cJ	anti-PD1	8	36.88
07TCB6F1CT	CT26	651-05	BALB/cJ	anti-PD1	11	233.44
07TCB6F1CT	CT26	651-05	BALB/cJ	anti-PD1	13	680.2
07TCB6F1CT	CT26	651-05	BALB/cJ	anti-PD1	15	2181.36
07TCB6F1CT	CT26	651-06	BALB/cJ	isotype	6	24.31
07TCB6F1CT	CT26	651-06	BALB/cJ	isotype	8	33.29
07TCB6F1CT	CT26	651-06	BALB/cJ	isotype	11	208.11
07TCB6F1CT	CT26	651-06	BALB/cJ	isotype	13	309.83
07TCB6F1CT	CT26	651-06	BALB/cJ	isotype	15	752.98
07TCB6F1CT	CT26	651-06	BALB/cJ	isotype	18	1457.08
07TCB6F1CT	CT26	651-06	BALB/cJ	isotype	20	1992.75
07TCB6F1CT	CT26	651-06	BALB/cJ	isotype	22	2446.9
07TCB6F1CT	CT26	651-07	BALB/cJ	isotype	8	32.55
07TCB6F1CT	CT26	651-07	BALB/cJ	isotype	11	115.82
07TCB6F1CT	CT26	651-07	BALB/cJ	isotype	13	314.74
07TCB6F1CT	CT26	651-07	BALB/cJ	isotype	15	605.03
07TCB6F1CT	CT26	651-07	BALB/cJ	isotype	18	1934.12
07TCB6F1CT	CT26	651-07	BALB/cJ	isotype	20	2960.96
07TCB6F1CT	CT26	651-08	BALB/cJ	isotype	6	34.72
07TCB6F1CT	CT26	651-08	BALB/cJ	isotype	8	52.69
07TCB6F1CT	CT26	651-08	BALB/cJ	isotype	11	119.8
07TCB6F1CT	CT26	651-08	BALB/cJ	isotype	13	276.7
07TCB6F1CT	CT26	651-08	BALB/cJ	isotype	15	318.19
07TCB6F1CT	CT26	651-08	BALB/cJ	isotype	18	448.63
07TCB6F1CT	CT26	651-08	BALB/cJ	isotype	20	546.35
07TCB6F1CT	CT26	651-08	BALB/cJ	isotype	22	610.05
07TCB6F1CT	CT26	651-09	BALB/cJ	anti-PD1	6	43.68
07TCB6F1CT	CT26	651-09	BALB/cJ	anti-PD1	8	50.59
07TCB6F1CT	CT26	651-09	BALB/cJ	anti-PD1	11	100.03
07TCB6F1CT	CT26	651-09	BALB/cJ	anti-PD1	13	139.33
07TCB6F1CT	CT26	651-09	BALB/cJ	anti-PD1	15	176.28
07TCB6F1CT	CT26	651-09	BALB/cJ	anti-PD1	18	412.18
07TCB6F1CT	CT26	651-09	BALB/cJ	anti-PD1	20	704.13
07TCB6F1CT	CT26	651-10	BALB/cJ	anti-PD1	8	21.75
07TCB6F1CT	CT26	651-10	BALB/cJ	anti-PD1	11	18.45
07TCB6F1CT	CT26	651-10	BALB/cJ	anti-PD1	13	14.47
07TCB6F1CT	CT26	651-10	BALB/cJ	anti-PD1	15	20.82
07TCB6F1CT	CT26	651-10	BALB/cJ	anti-PD1	18	15.86
07TCB6F1CT	CT26	651-10	BALB/cJ	anti-PD1	20	20.05
07TCB6F1CT	CT26	651-10	BALB/cJ	anti-PD1	22	17.91
07TCB6F1CT	CT26	651-11	BALB/cJ	anti-PD1	6	43.95
07TCB6F1CT	CT26	651-11	BALB/cJ	anti-PD1	8	61.26
07TCB6F1CT	CT26	651-11	BALB/cJ	anti-PD1	11	184.92
07TCB6F1CT	CT26	651-11	BALB/cJ	anti-PD1	13	204.25
07TCB6F1CT	CT26	651-11	BALB/cJ	anti-PD1	15	222.36
07TCB6F1CT	CT26	651-11	BALB/cJ	anti-PD1	18	230.49
07TCB6F1CT	CT26	651-11	BALB/cJ	anti-PD1	20	163.25
07TCB6F1CT	CT26	651-11	BALB/cJ	anti-PD1	22	129.02
07TCB6F1CT	CT26	651-12	BALB/cJ	isotype	6	22.1
07TCB6F1CT	CT26	651-12	BALB/cJ	isotype	8	37.14
07TCB6F1CT	CT26	651-12	BALB/cJ	isotype	11	37.47
07TCB6F1CT	CT26	651-12	BALB/cJ	isotype	13	166.71
07TCB6F1CT	CT26	651-12	BALB/cJ	isotype	15	392.39
07TCB6F1CT	CT26	651-12	BALB/cJ	isotype	18	890.08
07TCB6F1CT	CT26	651-12	BALB/cJ	isotype	20	1482.24
07TCB6F1CT	CT26	651-12	BALB/cJ	isotype	22	1690.61
07TCB6F1CT	CT26	651-13	BALB/cJ	anti-PD1	6	10.82
07TCB6F1CT	CT26	651-13	BALB/cJ	anti-PD1	8	67.03
07TCB6F1CT	CT26	651-13	BALB/cJ	anti-PD1	11	160.86
07TCB6F1CT	CT26	651-13	BALB/cJ	anti-PD1	13	194.55
07TCB6F1CT	CT26	651-13	BALB/cJ	anti-PD1	15	352.54
07TCB6F1CT	CT26	651-13	BALB/cJ	anti-PD1	18	453.01
07TCB6F1CT	CT26	651-13	BALB/cJ	anti-PD1	20	565.58
07TCB6F1CT	CT26	651-13	BALB/cJ	anti-PD1	22	677
07TCB6F1CT	CT26	651-14	BALB/cJ	anti-PD1	6	16.79
07TCB6F1CT	CT26	651-14	BALB/cJ	anti-PD1	8	55.83
07TCB6F1CT	CT26	651-14	BALB/cJ	anti-PD1	11	135.08
07TCB6F1CT	CT26	651-14	BALB/cJ	anti-PD1	13	175.44
07TCB6F1CT	CT26	651-14	BALB/cJ	anti-PD1	15	262.62
07TCB6F1CT	CT26	651-14	BALB/cJ	anti-PD1	18	378.44
07TCB6F1CT	CT26	651-15	BALB/cJ	anti-PD1	6	22.43
07TCB6F1CT	CT26	651-15	BALB/cJ	anti-PD1	8	28
07TCB6F1CT	CT26	651-15	BALB/cJ	anti-PD1	11	91.59
07TCB6F1CT	CT26	651-15	BALB/cJ	anti-PD1	13	137
07TCB6F1CT	CT26	651-15	BALB/cJ	anti-PD1	15	232.75
07TCB6F1CT	CT26	651-15	BALB/cJ	anti-PD1	18	415.04
07TCB6F1CT	CT26	651-15	BALB/cJ	anti-PD1	20	615.95
07TCB6F1CT	CT26	651-15	BALB/cJ	anti-PD1	22	967.2
07TCB6F1CT	CT26	651-16	BALB/cJ	isotype	6	23.3
07TCB6F1CT	CT26	651-16	BALB/cJ	isotype	8	27.81
07TCB6F1CT	CT26	651-16	BALB/cJ	isotype	11	52.7
07TCB6F1CT	CT26	651-16	BALB/cJ	isotype	13	86.16
07TCB6F1CT	CT26	651-16	BALB/cJ	isotype	15	107.57
07TCB6F1CT	CT26	651-16	BALB/cJ	isotype	18	177.48
07TCB6F1CT	CT26	651-16	BALB/cJ	isotype	20	228.73
07TCB6F1CT	CT26	651-16	BALB/cJ	isotype	22	292.5
07TCB6F1CT	CT26	651-17	BALB/cJ	isotype	6	31.1
07TCB6F1CT	CT26	651-17	BALB/cJ	isotype	8	37.44
07TCB6F1CT	CT26	651-17	BALB/cJ	isotype	11	93.82
07TCB6F1CT	CT26	651-17	BALB/cJ	isotype	13	266.55
07TCB6F1CT	CT26	651-17	BALB/cJ	isotype	15	439.66
07TCB6F1CT	CT26	651-17	BALB/cJ	isotype	18	1164.05
07TCB6F1CT	CT26	651-17	BALB/cJ	isotype	20	2095.27
07TCB6F1CT	CT26	651-18	BALB/cJ	anti-PD1	6	26.89
07TCB6F1CT	CT26	651-18	BALB/cJ	anti-PD1	8	17.01
07TCB6F1CT	CT26	651-18	BALB/cJ	anti-PD1	11	49.92
07TCB6F1CT	CT26	651-18	BALB/cJ	anti-PD1	13	407.78
07TCB6F1CT	CT26	651-18	BALB/cJ	anti-PD1	15	660.68
07TCB6F1CT	CT26	651-18	BALB/cJ	anti-PD1	18	1312.5
07TCB6F1CT	CT26	651-19	BALB/cJ	anti-PD1	6	60.64
07TCB6F1CT	CT26	651-19	BALB/cJ	anti-PD1	8	90.18
07TCB6F1CT	CT26	651-19	BALB/cJ	anti-PD1	11	216.62
07TCB6F1CT	CT26	651-19	BALB/cJ	anti-PD1	13	387.47
07TCB6F1CT	CT26	651-19	BALB/cJ	anti-PD1	15	534.36
07TCB6F1CT	CT26	651-19	BALB/cJ	anti-PD1	18	756.67
07TCB6F1CT	CT26	651-19	BALB/cJ	anti-PD1	20	836.19
07TCB6F1CT	CT26	651-20	BALB/cJ	isotype	6	73.45
07TCB6F1CT	CT26	651-20	BALB/cJ	isotype	8	111.31
07TCB6F1CT	CT26	651-20	BALB/cJ	isotype	11	201.63
07TCB6F1CT	CT26	651-20	BALB/cJ	isotype	13	335.75
07TCB6F1CT	CT26	651-20	BALB/cJ	isotype	15	461.2
07TCB6F1CT	CT26	651-20	BALB/cJ	isotype	18	764.29
07TCB6F1CT	CT26	651-20	BALB/cJ	isotype	20	1128.5
07TCB6F1CT	CT26	651-20	BALB/cJ	isotype	22	1497.96
12TCC2/7MC	MC38	664-42	C57BL/6J	isotype	8	117
12TCC2/7MC	MC38	664-42	C57BL/6J	isotype	11	179.62
12TCC2/7MC	MC38	664-42	C57BL/6J	isotype	13	391.07
12TCC2/7MC	MC38	664-42	C57BL/6J	isotype	15	485.38
12TCC2/7MC	MC38	664-42	C57BL/6J	isotype	18	1254.47
12TCC2/7MC	MC38	664-43	C57BL/6J	anti-PD1	8	90.95
12TCC2/7MC	MC38	664-43	C57BL/6J	anti-PD1	11	116.79
12TCC2/7MC	MC38	664-43	C57BL/6J	anti-PD1	13	149.61
12TCC2/7MC	MC38	664-43	C57BL/6J	anti-PD1	15	290.44
12TCC2/7MC	MC38	664-43	C57BL/6J	anti-PD1	18	307.34
12TCC2/7MC	MC38	664-43	C57BL/6J	anti-PD1	20	438.74
12TCC2/7MC	MC38	664-43	C57BL/6J	anti-PD1	22	499.88
12TCC2/7MC	MC38	664-44	C57BL/6J	isotype	6	27.84
12TCC2/7MC	MC38	664-44	C57BL/6J	isotype	8	39.11
12TCC2/7MC	MC38	664-44	C57BL/6J	isotype	11	46.57
12TCC2/7MC	MC38	664-44	C57BL/6J	isotype	13	83.63
12TCC2/7MC	MC38	664-44	C57BL/6J	isotype	15	123.59
12TCC2/7MC	MC38	664-44	C57BL/6J	isotype	18	283.53
12TCC2/7MC	MC38	664-44	C57BL/6J	isotype	20	337.1
12TCC2/7MC	MC38	664-44	C57BL/6J	isotype	22	467.59
12TCC2/7MC	MC38	664-45	C57BL/6J	isotype	6	33.57
12TCC2/7MC	MC38	664-45	C57BL/6J	isotype	8	79.75
12TCC2/7MC	MC38	664-45	C57BL/6J	isotype	11	122.9
12TCC2/7MC	MC38	664-45	C57BL/6J	isotype	13	244.74
12TCC2/7MC	MC38	664-45	C57BL/6J	isotype	15	268.9
12TCC2/7MC	MC38	664-45	C57BL/6J	isotype	18	478.87
12TCC2/7MC	MC38	664-46	C57BL/6J	isotype	8	21.06
12TCC2/7MC	MC38	664-46	C57BL/6J	isotype	11	39.13
12TCC2/7MC	MC38	664-46	C57BL/6J	isotype	13	33.9
12TCC2/7MC	MC38	664-46	C57BL/6J	isotype	15	26.95
12TCC2/7MC	MC38	664-46	C57BL/6J	isotype	18	77.27
12TCC2/7MC	MC38	664-46	C57BL/6J	isotype	20	153.05
12TCC2/7MC	MC38	664-46	C57BL/6J	isotype	22	181.42
12TCC2/7MC	MC38	664-47	C57BL/6J	isotype	6	36.89
12TCC2/7MC	MC38	664-47	C57BL/6J	isotype	8	54.15
12TCC2/7MC	MC38	664-47	C57BL/6J	isotype	11	115.53
12TCC2/7MC	MC38	664-47	C57BL/6J	isotype	13	175.45
12TCC2/7MC	MC38	664-47	C57BL/6J	isotype	15	319.33
12TCC2/7MC	MC38	664-48	C57BL/6J	anti-PD1	6	25.1
12TCC2/7MC	MC38	664-48	C57BL/6J	anti-PD1	8	78.04
12TCC2/7MC	MC38	664-48	C57BL/6J	anti-PD1	11	44.29
12TCC2/7MC	MC38	664-48	C57BL/6J	anti-PD1	15	0
12TCC2/7MC	MC38	664-48	C57BL/6J	anti-PD1	18	0
12TCC2/7MC	MC38	664-48	C57BL/6J	anti-PD1	20	0
12TCC2/7MC	MC38	664-48	C57BL/6J	anti-PD1	22	0
12TCC2/7MC	MC38	664-49	C57BL/6J	anti-PD1	6	45.88
12TCC2/7MC	MC38	664-49	C57BL/6J	anti-PD1	8	102.29
12TCC2/7MC	MC38	664-49	C57BL/6J	anti-PD1	11	55.23
12TCC2/7MC	MC38	664-49	C57BL/6J	anti-PD1	13	43.36
12TCC2/7MC	MC38	664-49	C57BL/6J	anti-PD1	15	23.85
12TCC2/7MC	MC38	664-49	C57BL/6J	anti-PD1	18	0
12TCC2/7MC	MC38	664-49	C57BL/6J	anti-PD1	20	0
12TCC2/7MC	MC38	664-49	C57BL/6J	anti-PD1	22	0
12TCC2/7MC	MC38	664-50	C57BL/6J	anti-PD1	8	35.96
12TCC2/7MC	MC38	664-50	C57BL/6J	anti-PD1	11	23.42
12TCC2/7MC	MC38	664-50	C57BL/6J	anti-PD1	15	0
12TCC2/7MC	MC38	664-50	C57BL/6J	anti-PD1	18	0
12TCC2/7MC	MC38	664-50	C57BL/6J	anti-PD1	20	0
12TCC2/7MC	MC38	664-50	C57BL/6J	anti-PD1	22	0
12TCC2/7MC	MC38	664-51	C57BL/6J	isotype	6	31.01
12TCC2/7MC	MC38	664-51	C57BL/6J	isotype	8	82.54
12TCC2/7MC	MC38	664-51	C57BL/6J	isotype	11	161.3
12TCC2/7MC	MC38	664-51	C57BL/6J	isotype	13	271.23
12TCC2/7MC	MC38	664-52	C57BL/6J	anti-PD1	6	30.21
12TCC2/7MC	MC38	664-52	C57BL/6J	anti-PD1	8	101.42
12TCC2/7MC	MC38	664-52	C57BL/6J	anti-PD1	11	61.69
12TCC2/7MC	MC38	664-52	C57BL/6J	anti-PD1	15	0
12TCC2/7MC	MC38	664-52	C57BL/6J	anti-PD1	18	0
12TCC2/7MC	MC38	664-52	C57BL/6J	anti-PD1	20	0
12TCC2/7MC	MC38	664-52	C57BL/6J	anti-PD1	22	0
12TCC2/7MC	MC38	664-53	C57BL/6J	anti-PD1	8	47.18
12TCC2/7MC	MC38	664-53	C57BL/6J	anti-PD1	15	0
12TCC2/7MC	MC38	664-53	C57BL/6J	anti-PD1	18	0
